,host_is_superhost,cancellation_policy,instant_bookable,property_type,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price_region
5580,1,flexible,1,Apartment,Private room,2.0,1.0,1.0,1.0,97.0,region 100.0-150.0
2114,0,strict_14_with_grace_period,0,House,Entire home/apt,8.0,3.0,4.0,5.0,99.0,Others
2536,1,strict_14_with_grace_period,1,House,Private room,2.0,1.0,1.0,1.0,97.0,region 50.0-100.0
6355,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
2887,0,strict_14_with_grace_period,0,Apartment,Private room,1.0,1.0,1.0,1.0,60.0,region 0.0-50.0
6801,0,strict_14_with_grace_period,1,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
1461,1,strict_14_with_grace_period,1,House,Private room,2.0,1.0,1.0,1.0,97.0,region 50.0-100.0
5210,1,flexible,1,House,Private room,2.0,1.0,1.0,1.0,97.0,region 50.0-100.0
5134,0,strict_14_with_grace_period,0,House,Entire home/apt,6.0,1.0,3.0,3.0,100.0,region 200.0-250.0
6790,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,3.0,1.0,2.0,0.0,100.0,Others
5308,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
2699,0,flexible,1,Others,Shared room,3.0,0.0,1.0,3.0,95.0,region 0.0-50.0
575,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,98.0,region 250.0-300.0
5050,1,moderate,0,Apartment,Entire home/apt,4.0,1.0,1.0,1.0,100.0,region 150.0-200.0
434,0,strict_14_with_grace_period,0,Apartment,Private room,2.0,0.5,1.0,1.0,100.0,region 150.0-200.0
1680,0,moderate,1,Hotel,Private room,4.0,1.0,1.0,2.0,85.0,region 100.0-150.0
2405,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,5.0,1.0,1.0,2.0,95.0,region 150.0-200.0
2935,1,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,93.0,region 50.0-100.0
4516,1,moderate,1,House,Entire home/apt,8.0,2.0,2.0,5.0,95.0,region 400.0-450.0
1269,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,99.0,region 200.0-250.0
6842,0,flexible,0,House,Private room,2.0,1.0,1.0,1.0,98.0,region 300.0-350.0
2521,0,strict_14_with_grace_period,0,Apartment,Private room,2.0,4.0,1.0,1.0,50.0,region 50.0-100.0
5807,0,moderate,0,Others,Entire home/apt,3.0,1.0,1.0,2.0,98.0,region 200.0-250.0
5856,0,strict_14_with_grace_period,0,House,Entire home/apt,2.0,2.0,1.0,1.0,98.0,region 350.0-400.0
4443,1,moderate,0,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
804,1,strict_14_with_grace_period,0,House,Entire home/apt,4.0,1.0,4.0,4.0,100.0,Others
1275,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,94.0,region 100.0-150.0
335,1,moderate,1,House,Private room,2.0,2.0,1.0,1.0,97.0,region 100.0-150.0
4419,0,flexible,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 200.0-250.0
3319,1,moderate,1,Townhouse,Private room,2.0,1.0,1.0,1.0,96.0,region 100.0-150.0
4844,0,moderate,1,House,Entire home/apt,5.0,1.0,3.0,3.0,100.0,region 200.0-250.0
4284,1,moderate,0,Guest suite,Entire home/apt,1.0,1.0,1.0,2.0,100.0,region 150.0-200.0
6663,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
3997,0,flexible,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 100.0-150.0
1559,1,moderate,1,House,Private room,1.0,1.0,1.0,1.0,96.0,region 50.0-100.0
603,0,moderate,0,House,Entire home/apt,4.0,1.0,2.0,2.0,96.0,region 150.0-200.0
