,price
85,80.0
4065,180.0
7066,185.0
6514,2000.0
6358,167.0
4706,200.0
3973,136.0
1617,209.0
2084,501.0
1102,97.0
6627,199.0
2430,245.0
83,216.0
5220,700.0
4063,795.0
4116,265.0
6512,50.0
1368,75.0
2188,1285.0
3832,110.0
6396,105.0
4791,79.0
89,108.0
82,95.0
7031,307.0
5861,56.0
3841,335.0
2132,187.0
6273,150.0
61,119.0
3507,750.0
907,195.0
2054,130.0
6588,84.0
1864,119.0
5507,350.0
1518,175.0
4414,99.0
5756,295.0
6080,79.0
4755,150.0
901,149.0
1347,199.0
4888,75.0
4656,87.0
5818,80.0
4644,120.0
3845,84.0
108,90.0
2596,390.0
4619,211.0
5729,100.0
6562,130.0
3438,140.0
3481,200.0
2707,79.0
4670,4500.0
6023,130.0
5692,175.0
1479,89.0
3873,250.0
6676,219.0
2730,121.0
4677,333.0
3771,135.0
3865,325.0
527,400.0
5540,148.0
3109,140.0
6972,189.0
2193,55.0
3021,260.0
2030,60.0
1192,200.0
1496,125.0
6491,297.0
5151,50.0
581,255.0
6608,170.0
4674,300.0
5575,125.0
655,430.0
6574,150.0
998,306.0
5532,125.0
5700,250.0
1382,150.0
1843,89.0
4112,102.0
4909,299.0
1218,96.0
2529,135.0
648,129.0
6257,85.0
6164,365.0
1816,79.0
2987,108.0
5001,275.0
1251,675.0
1413,249.0
6545,200.0
4523,160.0
6816,125.0
6551,200.0
3300,99.0
2574,1600.0
4950,1600.0
4660,165.0
4037,280.0
1859,240.0
1144,210.0
6093,143.0
3272,100.0
4883,75.0
1554,55.0
3182,595.0
4248,69.0
1658,600.0
4627,140.0
3921,220.0
4877,172.0
327,220.0
3000,77.0
2096,95.0
911,137.0
127,580.0
43,83.0
5869,145.0
7096,206.0
2293,150.0
5121,139.0
5437,150.0
5054,140.0
1404,120.0
4322,225.0
2544,140.0
3542,85.0
290,128.0
470,130.0
1548,150.0
6869,50.0
6106,125.0
11,139.0
1741,75.0
2500,700.0
3490,115.0
1467,265.0
2027,139.0
1677,146.0
853,80.0
3120,239.0
5982,100.0
5359,159.0
4609,115.0
2110,110.0
5850,175.0
3926,90.0
6609,140.0
594,340.0
2645,79.0
6461,302.0
2897,295.0
6739,500.0
875,100.0
7078,150.0
5002,275.0
3764,199.0
1314,85.0
4110,185.0
4652,140.0
692,145.0
5367,53.0
6812,95.0
4612,260.0
6862,123.0
2908,150.0
3754,147.0
4467,95.0
4350,350.0
5017,555.0
477,135.0
1264,73.0
5636,125.0
4974,150.0
3676,125.0
5893,500.0
6077,35.0
5690,153.0
4481,95.0
861,299.0
2191,100.0
1612,120.0
731,199.0
6534,157.0
643,505.0
2248,88.0
7139,125.0
6244,79.0
6662,195.0
1522,89.0
611,290.0
159,155.0
926,47.0
4568,85.0
805,115.0
4019,100.0
4462,79.0
5039,250.0
3638,258.0
6733,69.0
764,180.0
3320,150.0
3880,62.0
5154,150.0
2031,99.0
5670,100.0
4398,100.0
52,150.0
1254,229.0
6518,160.0
2215,125.0
755,395.0
6054,59.0
1477,450.0
520,185.0
3954,220.0
5638,129.0
2190,122.0
155,110.0
4378,68.0
5946,149.0
488,55.0
183,162.0
4066,70.0
3584,235.0
3382,75.0
6578,250.0
656,180.0
3166,130.0
2040,105.0
679,152.0
3090,135.0
269,672.0
808,373.0
384,201.0
5689,190.0
4539,180.0
529,890.0
6457,229.0
6452,232.0
1725,250.0
986,155.0
5534,150.0
3476,70.0
1799,128.0
392,130.0
7011,105.0
5476,68.0
1711,129.0
2414,139.0
5114,150.0
6750,140.0
4232,400.0
6653,229.0
3989,59.0
3998,250.0
5863,189.0
1955,63.0
4803,79.0
5102,133.0
6124,100.0
5053,182.0
1293,495.0
4628,249.0
788,61.0
995,136.0
716,189.0
835,150.0
5840,229.0
1439,109.0
1315,129.0
4756,150.0
1296,60.0
6893,69.0
5358,35.0
4373,150.0
7114,46.0
6211,68.0
1127,140.0
351,195.0
282,106.0
4924,177.0
5244,150.0
5258,88.0
2540,126.0
3946,85.0
3469,50.0
1635,75.0
6643,163.0
2250,195.0
220,575.0
1028,105.0
5997,119.0
1133,141.0
6397,350.0
3960,150.0
22,65.0
2479,197.0
2161,90.0
3569,169.0
111,115.0
455,160.0
160,225.0
1733,149.0
4922,350.0
236,170.0
820,215.0
1701,400.0
4210,75.0
3782,85.0
6119,800.0
1466,224.0
4709,75.0
6498,499.0
3711,345.0
1601,400.0
3325,100.0
5127,169.0
5456,52.0
1463,439.0
1012,99.0
2578,115.0
2743,150.0
4781,275.0
1519,183.0
4336,250.0
6399,30.0
272,250.0
493,168.0
3202,700.0
1155,600.0
5852,549.0
6806,140.0
71,200.0
2429,300.0
149,179.0
2936,109.0
5000,199.0
6417,175.0
44,159.0
3395,70.0
102,135.0
2149,400.0
1828,125.0
1342,80.0
3403,140.0
5124,50.0
90,30.0
5465,50.0
3847,70.0
5257,143.0
6758,199.0
6605,200.0
556,90.0
3672,120.0
2690,400.0
4351,199.0
2160,134.0
359,129.0
4955,80.0
5464,125.0
4838,67.0
5140,400.0
7144,105.0
1189,119.0
6978,132.0
4412,75.0
4314,185.0
5970,120.0
398,85.0
3079,259.0
3491,125.0
2749,475.0
4942,899.0
5360,600.0
4805,82.0
2360,235.0
6433,177.0
6241,180.0
737,170.0
6697,350.0
4008,50.0
3555,80.0
2862,79.0
3515,170.0
1206,250.0
6317,200.0
1739,124.0
4616,115.0
1042,235.0
2010,185.0
732,179.0
1320,1200.0
5637,125.0
1990,269.0
4100,90.0
2595,165.0
5974,219.0
6824,135.0
4218,2450.0
1324,170.0
2696,45.0
4549,125.0
6641,233.0
2968,125.0
3313,50.0
2451,200.0
3375,130.0
5195,300.0
323,170.0
5695,115.0
347,140.0
429,139.0
2726,390.0
977,350.0
5722,85.0
2823,80.0
4676,333.0
3001,8000.0
851,995.0
1726,224.0
719,60.0
5273,110.0
3208,295.0
2018,272.0
3848,89.0
3947,185.0
6405,180.0
2121,200.0
5451,283.0
2332,195.0
504,205.0
2257,91.0
4807,85.0
7017,175.0
3510,200.0
713,150.0
4355,195.0
2453,180.0
4949,480.0
6471,264.0
5627,122.0
293,200.0
1040,198.0
969,137.0
1686,450.0
1354,104.0
5655,80.0
1740,399.0
5876,147.0
3197,750.0
1041,105.0
2225,110.0
3235,165.0
4102,179.0
7087,110.0
940,105.0
261,270.0
3774,89.0
2698,45.0
5392,127.0
4325,105.0
1136,145.0
4034,239.0
5516,64.0
5078,300.0
729,265.0
5366,40.0
3629,150.0
759,145.0
4424,100.0
3904,700.0
2618,325.0
5402,120.0
2816,117.0
1830,250.0
5895,999.0
6313,164.0
4276,69.0
3862,95.0
5092,275.0
6406,110.0
6657,100.0
6134,85.0
2563,105.0
4962,200.0
6371,160.0
2662,50.0
4636,86.0
1161,750.0
827,133.0
3404,110.0
6682,75.0
5047,280.0
1959,450.0
1642,1252.0
1249,150.0
2270,199.0
6863,123.0
226,145.0
6990,188.0
1863,750.0
2789,300.0
4247,189.0
3763,450.0
6938,185.0
6052,45.0
3409,132.0
7021,215.0
4792,79.0
75,150.0
5588,125.0
5343,172.0
5044,125.0
401,699.0
6900,217.0
4501,200.0
1235,850.0
3217,70.0
4867,86.0
3936,400.0
1196,195.0
3945,68.0
471,79.0
3992,125.0
6334,150.0
6064,159.0
2511,120.0
2616,110.0
1492,125.0
708,199.0
1149,200.0
773,169.0
3721,225.0
5897,165.0
2615,108.0
4344,86.0
3061,213.0
4053,468.0
3843,165.0
3506,98.0
6769,800.0
1171,97.0
1628,250.0
2372,125.0
6912,40.0
6365,150.0
2567,110.0
2039,142.0
5003,300.0
7037,225.0
1166,600.0
2384,250.0
5676,249.0
540,99.0
3312,97.0
3759,150.0
2664,67.0
3097,109.0
5521,300.0
4497,208.0
4058,225.0
3032,70.0
3056,150.0
107,250.0
2458,149.0
6006,250.0
5486,100.0
2516,159.0
6160,45.0
6607,31.0
1159,129.0
2522,250.0
6926,150.0
4849,351.0
5403,100.0
3367,119.0
753,235.0
6478,400.0
6099,29.0
1255,86.0
318,205.0
352,450.0
5188,150.0
6191,200.0
2356,100.0
5067,65.0
1699,999.0
4252,140.0
1505,109.0
6563,150.0
26,180.0
897,130.0
7124,41.0
2146,545.0
5845,113.0
1805,70.0
5371,121.0
6442,256.0
1495,115.0
3851,150.0
6094,175.0
2004,180.0
2771,600.0
430,300.0
5200,350.0
5566,4500.0
1773,375.0
3168,125.0
3344,125.0
3846,200.0
2100,110.0
1777,190.0
1919,262.0
6778,185.0
4165,159.0
6831,72.0
5023,325.0
249,170.0
76,100.0
6570,150.0
3189,125.0
6871,500.0
2710,110.0
3440,50.0
4338,58.0
2560,115.0
6374,147.0
6020,200.0
852,250.0
6660,189.0
3975,135.0
6212,259.0
2894,169.0
7075,180.0
6839,185.0
2988,199.0
2107,110.0
167,182.0
3552,499.0
5373,60.0
